dataset	n_samples	n_genes	batch_source	confounded_groups	n_confounded_groups	batch_separable	degenerate	lead_PC_R2_batch	lead_PC_R2_group	usable	cat	recommendation	FAIL	n_WARN
GSE59645	16	26583	measured	naive;sham;tbi;tbi_e33;tbi_jm6;tbi_pmi	6	False	True	0.9612295827438243	0.9959803247849396	False	unusable	不可用:见 FAIL 列表	B: 6 个分组 100% 属单一批次,不可分离	1
GSE64978	10	25269	inferred		0	True	False	0.04353621830703225	0.1083889349259558	False	unusable	不可用:见 FAIL 列表	E: 跨批次复现性失败(1 组对比的批次间效应相关 r<0.3 或方向一致率<70%)	1
GSE68207	8	26031	inferred		0	True	False	0.8132851435187268	0.022081338905395098	False	unusable	不可用:见 FAIL 列表	C: 4703/5000 个高变基因由批次主导,且批次独有方差中位数(0.718)为分组(0.026)的 2 倍以上;E: 跨批次复现性失败(1 组对比的批次间效应相关 r<0.3 或方向一致率<70%)	1
GSE80174_Cortex	10	26404	inferred		0	True	False	0.16062313410798623	0.683374231490931	True	usable	可用:批次与分组可分离,把 batch 作为协变量纳入模型		2
GSE80174_Hippocampus	9	26404	inferred	injured	1	False	False	0.6694424217728403	0.4684066416388716	False	unusable	不可用:见 FAIL 列表	B: 1 个分组 100% 属单一批次,不可分离;C: 4820/5000 个高变基因由批次主导,且批次独有方差中位数(0.181)为分组(0.006)的 2 倍以上	1
GSE80174_Thalamus	10	26404	inferred		0	True	False	0.0034580564362242106	0.6868895991722899	True	usable	usable: batch separable from group, include batch as covariate; NOTE cross-batch replication not computable (controls in one level)		1
GSE31357	32	33849	inferred	24_hr_Control;24_hr_MT+TBI;24_hr_Saline+TBI;4_hr_CB+TBI;4_hr_Control;4_hr_MT+TBI;4_hr_Saline+TBI	7	False	False	0.005549300125768486	0.4784646552457432	True	caveat	慎用:批次与分组不可分离,需人工核查建库记录		2
GSE115614	14	26787	measured	Sham;TBI;TBI+Imipramine;TBI+Prozac;TBI+Zoloft	5	False	True	0.8200205687850002	0.9356142269009855	True	caveat	可用,但批次身份待确认:分组与批次标签完全重叠属编号构造,且这些标签在技术指标上不可区分 → 无证据表明存在真实批次效应。建议先用 lib.size + detected genes 作协变量的敏感性分析,并向作者/补充材料核实建库批次记录		2
GSE330865	30	56884	GSM block	17m_sham;17m_surgery;27m_sham;27m_surgery;3m_sham;3m_surgery	6	False	True	0.25642788985215714	0.25642788985215703	True	caveat	可用,但批次身份待确认:分组与批次标签完全重叠属编号构造,且这些标签在技术指标上不可区分 → 无证据表明存在真实批次效应。建议先用 lib.size + detected genes 作协变量的敏感性分析,并向作者/补充材料核实建库批次记录		2
GSE297195	33	56884	GSM block	Aged_24h_sham;Aged_24h_surgery;Aged_5w_sham;Aged_5w_surgery;Young_24h_sham;Young_24h_surgery	6	False	True	0.991335906628195	0.991335906628195	True	caveat	usable under restriction: 6/6 groups single GSM block; technically separable (0.52 vs 0.21, perm p<0.001) but block difference fully explained by nesting in timepoint -> not independent batch evidence		2
GSE283401	96	54532	inferred	old_control_48 hours_hemisphere;old_control_48 hours_hippocampus;old_control_6 hours_hemisphere;old_control_6 hours_hippocampus;old_surgery_48 hours_hemisphere;old_surgery_48 hours_hippocampus;old_surgery_6 hours_hemisphere;young_control_48 hours_hemisphere;young_control_48 hours_hippocampus;young_control_6 hours_hemisphere;young_surgery_48 hours_hemisphere;young_surgery_6 hours_hemisphere;young_surgery_6 hours_hippocampus	13	False	False	0.049951083715533695	0.3279675526849526	True	caveat	慎用:批次与分组不可分离,需人工核查建库记录		2
GSE304956	29	55416	measured		0	True		0.017822633741692684	0.031338428073278246	False	unusable	不可用:见 FAIL 列表	E: 跨批次复现性失败(3 组对比的批次间效应相关 r<0.3 或方向一致率<70%)	0
GSE276942	17		design-derived	all(批次≡时间点)	5	False	True	0.361	0.0	False	unusable	不可用:批次与时间点 100% 混杂(PC1 36.1% 被批次占据),不可校正	批次与时间序列 100% 混杂	0
GSE163943	8		none		0	True	False	0.0	0.0	True	caveat	可用(限制条件): 人类外周血 4v4, n=8 已触及天花板,不能作为独立验证队列		1
